cusip_ticker,tr_id,rdate,tr_type,value,shares,sec_price,tr_shares
ACN,TR-TICKER-2230-ACN-2018Q1,2018-03-31T00:00:00.000Z,OPEN,20492000,133500,153.498127340824,133500
ACN,TR-TICKER-2230-ACN-2018Q1,2018-06-30T00:00:00.000Z,ADD,25749000,157400,163.58958068615,23900
ACN,TR-TICKER-2230-ACN-2018Q1,2018-09-30T00:00:00.000Z,HOLD,26789000,157400,170.196950444727,0
ACN,TR-TICKER-2230-ACN-2018Q1,2018-12-31T00:00:00.000Z,REDUCE,20728000,147000,141.006802721088,-10400
ACN,TR-TICKER-2230-ACN-2018Q1,2019-03-31T00:00:00.000Z,HOLD,25875000,147000,176.020408163265,0
ACN,TR-TICKER-2230-ACN-2018Q1,2019-06-30T00:00:00.000Z,REDUCE,23392000,126600,184.77093206951,-20400
ACN,TR-TICKER-2230-ACN-2018Q1,2019-09-30T00:00:00.000Z,ADD,25256000,131300,192.353389185072,4700
ACN,TR-TICKER-2230-ACN-2018Q1,2019-12-31T00:00:00.000Z,REDUCE,22447000,106600,210.572232645403,-24700
ACN,TR-TICKER-2230-ACN-2018Q1,2020-03-31T00:00:00.000Z,REDUCE,6449000,39500,163.26582278481,-67100
ACN,TR-TICKER-2230-ACN-2018Q1,2020-06-30T00:00:00.000Z,HOLD,8481000,39500,214.708860759494,0
ACN,TR-TICKER-2230-ACN-2018Q1,2020-09-30T00:00:00.000Z,HOLD,8927000,39500,226,0
ACN,TR-TICKER-2230-ACN-2018Q1,2020-12-31T00:00:00.000Z,HOLD,10318000,39500,261.215189873418,0
ACN,TR-TICKER-2230-ACN-2018Q1,2021-03-31T00:00:00.000Z,HOLD,10912000,39500,276.253164556962,0
ACN,TR-TICKER-2230-ACN-2018Q1,2021-06-30T00:00:00.000Z,CLOSE,0,0,276.253164556962,-39500
ACN,TR-TICKER-2230-ACN-2023Q1,2023-03-31T00:00:00.000Z,OPEN,28900821,101119,285.809996143158,101119
ACN,TR-TICKER-2230-ACN-2023Q1,2023-06-30T00:00:00.000Z,HOLD,31203301,101119,308.579999802213,0
ACN,TR-TICKER-2230-ACN-2023Q1,2023-09-30T00:00:00.000Z,CLOSE,0,0,308.579999802213,-101119
